bank,direction,category_native_bank,flow_type,description_signature,operation_count,amount_total_abs,first_date,last_date,legal_counterparty_count,person_or_ip_counterparty_count,rule_ids,suggested_question
tbank,debit,contragentOutcome,supplier_payment,18631d7b103c,1,98092.00,2026-04-13,2026-04-13,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,1cbcfc00cf0a,1,76338.60,2026-03-16,2026-03-16,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,22e228032d82,1,57504.78,2026-04-20,2026-04-20,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,26523364d1ad,1,8306.09,2026-02-24,2026-02-24,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,3045881007cf,1,80573.00,2026-05-19,2026-05-19,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,315ba4d077d7,1,9000.00,2026-03-16,2026-03-16,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,3522207d149d,1,5405.00,2026-05-05,2026-05-05,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,35254416f330,1,100689.00,2026-02-09,2026-02-09,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,36b9278eca90,1,67611.14,2026-02-16,2026-02-16,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,36d8937d6625,4,9900.00,2026-02-10,2026-05-19,0,4,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,41eb6f981bc4,1,6520.70,2026-04-20,2026-04-20,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,451342d79a0d,2,6460.00,2026-03-16,2026-04-06,2,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,50240c078e90,1,9436.70,2026-03-03,2026-03-03,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,50d6f2ce4702,1,3700.00,2026-03-03,2026-03-03,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,53a228444fc4,1,6301.66,2026-02-09,2026-02-09,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,55998fd28131,1,51000.00,2026-02-26,2026-02-26,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,58d8f567de42,1,9000.00,2026-05-05,2026-05-05,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,597fcad37311,1,220000.00,2026-03-17,2026-03-17,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,5b403658c0d7,1,14401.16,2026-04-06,2026-04-06,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,5cdaa737c73a,1,96200.00,2026-03-10,2026-03-10,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,691d867a435a,1,9000.00,2026-02-16,2026-02-16,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,707adf441945,1,91527.02,2026-03-03,2026-03-03,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,7123faa109a5,1,15883.07,2026-03-24,2026-03-24,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,712a0ab5da52,1,49000.00,2026-03-26,2026-03-26,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,774ddf7a99c3,1,150004.52,2026-05-12,2026-05-12,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,81f278f0ea7c,1,73269.00,2026-03-10,2026-03-10,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,830d5e2851ed,1,7796.67,2026-04-27,2026-04-27,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,8772b95538ee,1,7819.20,2026-05-19,2026-05-19,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,8a251d0591a7,1,210.00,2026-02-24,2026-02-24,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,8f1bef8654eb,2,9000.00,2026-02-03,2026-04-27,0,2,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,92d2780bd1be,1,3700.00,2026-02-03,2026-02-03,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,947395ae27d9,1,90961.79,2026-05-05,2026-05-05,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,9df3c5451b3d,4,33442.56,2026-02-16,2026-05-19,4,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,a2beeec21194,1,11744.46,2026-03-16,2026-03-16,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,a474147935ae,8,27132.80,2026-03-10,2026-05-19,0,8,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,a5b368d8a476,1,71571.00,2026-04-06,2026-04-06,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,afbf5a85956b,1,84960.92,2026-04-27,2026-04-27,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,aff89e4a106f,1,6426.10,2026-03-24,2026-03-24,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,b260a65a7c10,1,49000.00,2026-04-27,2026-04-27,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,bc9c91684f1f,1,9441.59,2026-03-10,2026-03-10,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,c35e618f39c0,1,64746.40,2026-04-13,2026-04-13,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,c3f60b3f3e54,1,44301.00,2026-02-10,2026-02-10,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,c47e0d1777bb,1,9891.57,2026-04-20,2026-04-20,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,c4c6e167707e,1,660.00,2026-05-12,2026-05-12,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,c767793daee8,1,8786.70,2026-04-13,2026-04-13,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,c932ac23885d,4,8000.00,2026-02-10,2026-05-12,4,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,cc1619ed67d6,1,110754.81,2026-05-19,2026-05-19,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,cda8649aee1b,1,33762.50,2026-02-05,2026-02-05,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,cf6301c70090,1,12095.40,2026-02-09,2026-02-09,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,d04f8c6ca9f8,1,11966.59,2026-05-19,2026-05-19,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,d2c4f88981cd,1,72319.50,2026-03-30,2026-03-30,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,d4d373488c9b,1,10130.25,2026-03-03,2026-03-03,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,d6886765496b,1,12114.52,2026-05-05,2026-05-05,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,da72ed7fc044,1,3700.00,2026-02-16,2026-02-16,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,dc409e6610af,1,10527.89,2026-02-16,2026-02-16,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,de20104cfdee,1,3700.00,2026-04-06,2026-04-06,1,0,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,e5a4f3df096d,1,14135.20,2026-02-24,2026-02-24,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,e856f47f6cf8,1,49000.00,2026-02-26,2026-02-26,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,e86ce7d72ed1,2,44000.00,2026-03-03,2026-03-24,0,2,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,f26ecabec561,15,33485.00,2026-02-02,2026-05-19,0,15,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,f56318743e8b,1,51000.00,2026-03-26,2026-03-26,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,f67e2491146a,1,10150.00,2026-03-03,2026-03-03,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,f6ec5727847f,1,9400.00,2026-05-12,2026-05-12,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,fb5ab6fa0c81,1,101876.70,2026-03-24,2026-03-24,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,ffc766d17938,1,10526.20,2026-05-12,2026-05-12,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,tax_payment,1a37440143b6,4,2000.00,2026-02-16,2026-05-12,4,0,TAX_ANY,Разделить налоги с З/п и прочие налоги.
tbank,debit,contragentPeople,payroll_payment,10e741af1fa9,1,62500.00,2026-04-15,2026-04-15,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,1b580a2aa8cd,1,120000.00,2026-04-06,2026-04-06,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,1e3a5881c2e0,1,115246.00,2026-02-10,2026-02-10,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,2bd9bf8cb987,1,80000.00,2026-04-29,2026-04-29,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,367f180dde9e,1,187500.00,2026-03-02,2026-03-02,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,4e294dd3fbae,1,265302.00,2026-03-31,2026-03-31,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,6109a542a971,1,190679.00,2026-05-19,2026-05-19,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,859c2a38fa90,1,278301.00,2026-02-03,2026-02-03,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,9d8b146b59c8,2,333255.00,2026-04-21,2026-05-12,0,2,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,a0d25d2abdb5,1,367491.00,2026-02-17,2026-02-17,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,c7564eee1657,2,214009.00,2026-04-14,2026-04-28,0,2,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,cbb9cfbe557a,1,220612.00,2026-03-24,2026-03-24,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,cded2d67a03d,1,26300.00,2026-03-13,2026-03-13,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,d040126c9980,1,116964.00,2026-03-12,2026-03-12,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,d63b082e369e,1,206500.00,2026-03-16,2026-03-16,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,dd88bf482071,1,92500.00,2026-05-15,2026-05-15,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,e30d92242730,1,262961.00,2026-02-24,2026-02-24,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,e676580ea929,1,50000.00,2026-03-30,2026-03-30,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,contragentPeople,payroll_payment,f9d7a7eda958,1,173525.00,2026-03-10,2026-03-10,0,1,PAYROLL_TBANK_PEOPLE,Подтвердить классификацию.
tbank,debit,creditPaymentOuter,loan_payment,88d380030972,8,49651.18,2026-02-27,2026-05-05,8,0,LOAN_OR_OVERDRAFT_ANY,"Разделить тело кредита, проценты и комиссии."
tbank,debit,selfTransferOuter,other_outflow,25b8f0b662ce,1,248101.83,2026-03-04,2026-03-04,0,1,TBANK_SELF_TRANSFER_OUTER_REVIEW,Определить экономический смысл группы операций.
tbank,debit,selfTransferOuter,other_outflow,4bade438ea97,1,300000.00,2026-03-11,2026-03-11,0,1,TBANK_SELF_TRANSFER_OUTER_REVIEW,Определить экономический смысл группы операций.
tbank,debit,selfTransferOuter,other_outflow,50676744a6fa,1,234000.00,2026-04-05,2026-04-05,0,1,TBANK_SELF_TRANSFER_OUTER_REVIEW,Определить экономический смысл группы операций.
tbank,debit,selfTransferOuter,other_outflow,639f89621057,1,245700.00,2026-02-01,2026-02-01,0,1,TBANK_SELF_TRANSFER_OUTER_REVIEW,Определить экономический смысл группы операций.
tbank,debit,selfTransferOuter,other_outflow,85251f2f7e29,2,76584.00,2026-02-10,2026-04-21,0,2,TBANK_SELF_TRANSFER_OUTER_REVIEW,Определить экономический смысл группы операций.
tbank,debit,selfTransferOuter,other_outflow,9a138a458c10,1,300000.00,2026-04-14,2026-04-14,0,1,TBANK_SELF_TRANSFER_OUTER_REVIEW,Определить экономический смысл группы операций.
tbank,debit,tax,tax_payment,6e3a24deac30,5,736428.79,2026-02-25,2026-04-27,5,0,TAX_ANY,Разделить налоги с З/п и прочие налоги.
